Metric,Frequency_Hz,Mode1,Mode2,p_value,Result
Power_W,2,subcarangiform,thunniform,3.20086484072767e-07,Significant
Power_W,2,subcarangiform,ostraciiform,8.64656463897382e-11,Significant
Power_W,2,carangiform,thunniform,3.94550272710184e-11,Significant
Power_W,2,carangiform,ostraciiform,7.20962211334429e-13,Significant
Power_W,2,thunniform,ostraciiform,2.00076955782902e-11,Significant
Energy_J,0.6,anguilliform,subcarangiform,0.137108982905238,Insignificant
Energy_J,0.6,anguilliform,carangiform,0.110094136878143,Insignificant
Energy_J,0.6,anguilliform,thunniform,0.155785128828497,Insignificant
Energy_J,0.6,anguilliform,ostraciiform,0.713922734335509,Insignificant
Energy_J,0.6,subcarangiform,carangiform,0.00605853607883312,Insignificant
Energy_J,0.6,subcarangiform,thunniform,0.638922918627304,Insignificant
Energy_J,0.6,subcarangiform,ostraciiform,0.183636831388089,Insignificant
Energy_J,0.6,carangiform,thunniform,0.000794819637378633,Significant
Energy_J,0.6,carangiform,ostraciiform,0.0219620590174559,Insignificant
Energy_J,0.6,thunniform,ostraciiform,0.213602568413399,Insignificant
Energy_J,1,anguilliform,subcarangiform,0.0016510668726298,Significant
Energy_J,1,anguilliform,carangiform,0.0598570399933861,Insignificant
Energy_J,1,anguilliform,thunniform,0.551301835368708,Insignificant
Energy_J,1,anguilliform,ostraciiform,8.63433402872595e-11,Significant
Energy_J,1,subcarangiform,carangiform,0.000670013393377769,Significant
Energy_J,1,subcarangiform,thunniform,0.220659117879894,Insignificant
Energy_J,1,subcarangiform,ostraciiform,1.51472911418204e-08,Significant
Energy_J,1,carangiform,thunniform,0.165763714229407,Insignificant
Energy_J,1,carangiform,ostraciiform,1.81570857806847e-06,Significant
Energy_J,1,thunniform,ostraciiform,0.000118392372453016,Significant
Energy_J,1.5,anguilliform,subcarangiform,0.129835597151398,Insignificant
Energy_J,1.5,anguilliform,carangiform,0.118718421354727,Insignificant
Energy_J,1.5,anguilliform,thunniform,3.63703394048325e-09,Significant
Energy_J,1.5,anguilliform,ostraciiform,2.40998282389556e-10,Significant
Energy_J,1.5,subcarangiform,carangiform,0.969811454470878,Insignificant
Energy_J,1.5,subcarangiform,thunniform,5.775150528929e-07,Significant
Energy_J,1.5,subcarangiform,ostraciiform,4.01288130557663e-08,Significant
Energy_J,1.5,carangiform,thunniform,5.57404112033893e-07,Significant
Energy_J,1.5,carangiform,ostraciiform,3.81249456869486e-08,Significant
Energy_J,1.5,thunniform,ostraciiform,4.82651862379232e-08,Significant
Energy_J,2,anguilliform,subcarangiform,0.0103274186851074,Insignificant
Energy_J,2,anguilliform,carangiform,0.383351050117877,Insignificant
Energy_J,2,anguilliform,thunniform,4.61907175106215e-06,Significant
Energy_J,2,anguilliform,ostraciiform,1.71071952282571e-07,Significant
Energy_J,2,subcarangiform,carangiform,0.08561592658811,Insignificant
Energy_J,2,subcarangiform,thunniform,2.32212642571798e-06,Significant
Energy_J,2,subcarangiform,ostraciiform,1.16193042701815e-08,Significant
Energy_J,2,carangiform,thunniform,2.89914198025576e-05,Significant
Energy_J,2,carangiform,ostraciiform,7.81015392459929e-07,Significant
Energy_J,2,thunniform,ostraciiform,5.33506547716402e-10,Significant
COT_J_kg_m,0.6,anguilliform,subcarangiform,0.152453872772305,Insignificant
COT_J_kg_m,0.6,anguilliform,carangiform,0.0473959292767492,Insignificant
COT_J_kg_m,0.6,anguilliform,thunniform,0.903201867047397,Insignificant
COT_J_kg_m,0.6,anguilliform,ostraciiform,0.827082418980877,Insignificant
COT_J_kg_m,0.6,subcarangiform,carangiform,0.00333376024531764,Significant
COT_J_kg_m,0.6,subcarangiform,thunniform,0.0752802149055456,Insignificant
COT_J_kg_m,0.6,subcarangiform,ostraciiform,0.145387762357965,Insignificant
COT_J_kg_m,0.6,carangiform,thunniform,0.00356065256707829,Significant
COT_J_kg_m,0.6,carangiform,ostraciiform,0.00505363055289609,Insignificant
COT_J_kg_m,0.6,thunniform,ostraciiform,0.621517413714691,Insignificant
COT_J_kg_m,1,anguilliform,subcarangiform,0.000740769934570735,Significant
COT_J_kg_m,1,anguilliform,carangiform,0.0707505634630321,Insignificant
COT_J_kg_m,1,anguilliform,thunniform,0.769025146221132,Insignificant
COT_J_kg_m,1,anguilliform,ostraciiform,4.35378297787469e-11,Significant
COT_J_kg_m,1,subcarangiform,carangiform,0.000759995961797132,Significant
COT_J_kg_m,1,subcarangiform,thunniform,0.101918844749545,Insignificant
COT_J_kg_m,1,subcarangiform,ostraciiform,1.07613708265164e-09,Significant
COT_J_kg_m,1,carangiform,thunniform,0.196642040469572,Insignificant
COT_J_kg_m,1,carangiform,ostraciiform,2.48086565325356e-06,Significant
COT_J_kg_m,1,thunniform,ostraciiform,1.84548994780795e-05,Significant
COT_J_kg_m,1.5,anguilliform,subcarangiform,0.128453123898655,Insignificant
COT_J_kg_m,1.5,anguilliform,carangiform,0.160113854096536,Insignificant
COT_J_kg_m,1.5,anguilliform,thunniform,6.97420842572837e-08,Significant
COT_J_kg_m,1.5,anguilliform,ostraciiform,5.71799600551802e-09,Significant
COT_J_kg_m,1.5,subcarangiform,carangiform,0.782885515264313,Insignificant
COT_J_kg_m,1.5,subcarangiform,thunniform,1.01259733558345e-06,Significant
COT_J_kg_m,1.5,subcarangiform,ostraciiform,6.27167730127643e-08,Significant
COT_J_kg_m,1.5,carangiform,thunniform,1.47845971986615e-07,Significant
COT_J_kg_m,1.5,carangiform,ostraciiform,8.44343061696911e-09,Significant
COT_J_kg_m,1.5,thunniform,ostraciiform,4.14827606109411e-08,Significant
COT_J_kg_m,2,anguilliform,subcarangiform,0.0139583639018619,Insignificant
COT_J_kg_m,2,anguilliform,carangiform,0.21513560376789,Insignificant
COT_J_kg_m,2,anguilliform,thunniform,3.7964054862129e-06,Significant
COT_J_kg_m,2,anguilliform,ostraciiform,1.49406269241568e-07,Significant
COT_J_kg_m,2,subcarangiform,carangiform,0.221992870310903,Insignificant
COT_J_kg_m,2,subcarangiform,thunniform,1.65713873193768e-05,Significant
COT_J_kg_m,2,subcarangiform,ostraciiform,1.24483014866856e-07,Significant
COT_J_kg_m,2,carangiform,thunniform,5.83830253061297e-05,Significant
COT_J_kg_m,2,carangiform,ostraciiform,1.47999841219123e-06,Significant
COT_J_kg_m,2,thunniform,ostraciiform,6.52056310396457e-09,Significant
