Metric,Mode,Frequency1_Hz,Frequency2_Hz,p_value,Result
Energy_J,thunniform,1,2,0.00458913777789972,Significant
Energy_J,thunniform,1.5,2,7.58935173555644e-08,Significant
Energy_J,ostraciiform,0.6,1,8.40766052049515e-08,Significant
Energy_J,ostraciiform,0.6,1.5,3.5862286207975e-08,Significant
Energy_J,ostraciiform,0.6,2,4.36194377767078e-08,Significant
Energy_J,ostraciiform,1,1.5,5.32682210594172e-08,Significant
Energy_J,ostraciiform,1,2,2.24030558708148e-06,Significant
Energy_J,ostraciiform,1.5,2,0.000800246895461114,Significant
COT_J_kg_m,anguilliform,0.6,1,7.24008864453044e-05,Significant
COT_J_kg_m,anguilliform,0.6,1.5,0.263318151691491,Insignificant
COT_J_kg_m,anguilliform,0.6,2,9.24171041607386e-05,Significant
COT_J_kg_m,anguilliform,1,1.5,4.59866573585844e-07,Significant
COT_J_kg_m,anguilliform,1,2,9.47282872725961e-07,Significant
COT_J_kg_m,anguilliform,1.5,2,0.000140341715085439,Significant
COT_J_kg_m,subcarangiform,0.6,1,7.94482881981693e-05,Significant
COT_J_kg_m,subcarangiform,0.6,1.5,0.0889105032329387,Insignificant
COT_J_kg_m,subcarangiform,0.6,2,0.0458739695486568,Insignificant
COT_J_kg_m,subcarangiform,1,1.5,6.70828004273589e-05,Significant
COT_J_kg_m,subcarangiform,1,2,4.41258893196183e-06,Significant
COT_J_kg_m,subcarangiform,1.5,2,0.00123814012047973,Significant
COT_J_kg_m,carangiform,0.6,1,2.31269099377953e-06,Significant
COT_J_kg_m,carangiform,0.6,1.5,0.00812103996341501,Significant
COT_J_kg_m,carangiform,0.6,2,0.000161624838400734,Significant
COT_J_kg_m,carangiform,1,1.5,1.31324243509117e-06,Significant
COT_J_kg_m,carangiform,1,2,9.55350503543261e-06,Significant
COT_J_kg_m,carangiform,1.5,2,0.00108673697567284,Significant
COT_J_kg_m,thunniform,0.6,1,3.19792535087644e-06,Significant
COT_J_kg_m,thunniform,0.6,1.5,1.15372221291404e-08,Significant
COT_J_kg_m,thunniform,0.6,2,6.76606912592124e-05,Significant
COT_J_kg_m,thunniform,1,1.5,0.00224273375016511,Significant
COT_J_kg_m,thunniform,1,2,0.00358592382501401,Significant
COT_J_kg_m,thunniform,1.5,2,8.67937729727233e-07,Significant
COT_J_kg_m,ostraciiform,0.6,1,1.95401259293604e-08,Significant
COT_J_kg_m,ostraciiform,0.6,1.5,8.15158966998864e-09,Significant
COT_J_kg_m,ostraciiform,0.6,2,9.93192889848869e-09,Significant
COT_J_kg_m,ostraciiform,1,1.5,1.12628034229155e-07,Significant
COT_J_kg_m,ostraciiform,1,2,3.65610324132083e-06,Significant
COT_J_kg_m,ostraciiform,1.5,2,0.000600596194757995,Significant
