Mode,HeadAmp,TailAmp,HeadTailRatio,MinAmp,MinAmpLocation,MaxAmp,MaxAmpLocation
anguilliform,0.0282436772139726,0.488052727671527,0.0578701349518558,0.000144048898051361,0.331531439775692,0.50522105657655,1.10710087361025
subcarangiform,0.0106068013899575,0.471286476830839,0.0225060592896339,6.02653705563993e-05,0.250051655004815,0.487572842297228,1.10498485189685
carangiform,0.0127676578993266,0.411906095803775,0.0309965257358292,7.39281999602879e-05,0.287462581783511,0.427943304510525,1.12110685822132
thunniform,0.0124125704586608,0.28515054918977,0.0435298844555272,6.36318452855874e-05,0.272506339116033,0.2984594122229,1.11524327440523
ostraciiform,0.0102349853231907,0.337413636943945,0.0303336445316555,0.000119461955351604,0.300857605386007,0.358536053907394,1.10787518773132
